"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0042 hourly"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0047 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0052 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","0.50 GiB/vCPU","EBS only","Low to Moderate","$0.0058 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0084 hourly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0094 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0104 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","1.00 GiB/vCPU","EBS only","Low to Moderate","$0.0116 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0168 hourly"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0188 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","0.61 GiB/vCPU","EBS only","Very Low","$0.0200 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0208 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","EBS only","Low to Moderate","$0.0230 hourly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0255 hourly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0336 hourly"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0340 hourly"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","2.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0363 hourly"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0376 hourly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","2.00 GiB/vCPU","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0384 hourly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","4.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0385 hourly"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","4.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0408 hourly"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0416 hourly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","2.00 GiB/vCPU","EBS only","Up to 16 Gigabit","$0.0432 hourly"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","1.70 GiB/vCPU","160 GB                 HDD","Low","$0.0440 hourly"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","4.00 GiB/vCPU","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0452 hourly"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","EBS only","Low to Moderate","$0.0464 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0504 hourly"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0510 hourly"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","8.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0536 hourly"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","8.00 GiB/vCPU","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0576 hourly"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","3.75 GiB/vCPU","4 GB                 SSD","Moderate","$0.0670 hourly"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0672 hourly"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0680 hourly"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0725 hourly"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0752 hourly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0765 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0768 hourly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0770 hourly"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0770 hourly"
"M7G Large","m7g.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0816 hourly"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.0832 hourly"
"X2GD Medium","x2gd.medium","16.0 GiB","1 vCPUs","16.00 GiB/vCPU","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0835 hourly"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0850 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0850 hourly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0860 hourly"
"C5AD Large","c5ad.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.0860 hourly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0864 hourly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.0864 hourly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","3.75 GiB/vCPU","410 GB                 HDD","Moderate","$0.0870 hourly"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0904 hourly"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","4.00 GiB/vCPU","EBS only","Low to Moderate","$0.0928 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.0960 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.0960 hourly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","50 GB                 NVMe SSD","Up to 10 Gigabit","$0.0960 hourly"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Moderate","$0.1000 hourly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","1.88 GiB/vCPU","EBS only","Moderate","$0.1000 hourly"
"C6ID Large","c6id.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1008 hourly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1008 hourly"
"A1 Extra Large","a1.xlarge","8.0 GiB","4 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1020 hourly"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1030 hourly"
"C3 High-CPU Large","c3.large","3.75 GiB","2 vCPUs","1.88 GiB/vCPU","32 GB                 (2 * 16 GB SSD)","Moderate","$0.1050 hourly"
"R7G Large","r7g.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.1071 hourly"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","2.62 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.1080 hourly"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1130 hourly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1130 hourly"
"R6A Large","r6a.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.1134 hourly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","2.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.1134 hourly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.1152 hourly"
"M6ID Large","m6id.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1187 hourly"
"M5N Large","m5n.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.1190 hourly"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.1260 hourly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1260 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","0.85 GiB/vCPU","350 GB                 HDD","Moderate","$0.1300 hourly"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1310 hourly"
"M3 General Purpose Large","m3.large","7.5 GiB","2 vCPUs","3.75 GiB/vCPU","32 GB                 SSD","Moderate","$0.1330 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","7.62 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1330 hourly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","4.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.1344 hourly"
"M5DN Large","m5dn.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","75 GB                 NVMe SSD","Up to 25 Gigabit","$0.1360 hourly"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1360 hourly"
"M6IN Large","m6in.large","8.0 GiB","2 vCPUs","4.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.1392 hourly"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1440 hourly"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","6.00 GiB/vCPU","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1441 hourly"
"C7G Extra Large","c7g.xlarge","8.0 GiB","4 vCPUs","2.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.1450 hourly"
"R5B Large","r5b.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1490 hourly"
"R5N Large","r5n.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.1490 hourly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","4.00 GiB/vCPU","EBS only","Up to 5 Gigabit","$0.1504 hourly"
"R6ID Large","r6id.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1512 hourly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","2.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.1530 hourly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","2.00 GiB/vCPU","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1536 hourly"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1540 hourly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","4.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.1540 hourly"
"I4G Large","i4g.large","16.0 GiB","2 vCPUs","8.00 GiB/vCPU","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1544 hourly"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","7.62 GiB/vCPU","475 GB                 NVMe SSD","Up to 10 Gigabit","$0.1560 hourly"
